BOOK_ID,IMAGE_ID,BOOK_PATH
BK041,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9780141339665_3.jpg
BK041,2,https://cdn0.fahasa.com/media/catalog/product/9/7/9780141339665_3.jpg
BK041,3,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/play-white.png
BK041,4,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/play-orange.png
BK041,5,https://cdn0.fahasa.com/media/catalog/product/d/i/diary_of_a_wimpy_kid_do_it_yourself_1_2023_03_30_10_46_18.jpg
BK041,6,https://cdn0.fahasa.com/media/catalog/product/d/i/diary_of_a_wimpy_kid_do_it_yourself_2_2023_03_30_10_46_18.jpg
BK041,7,https://cdn0.fahasa.com/media/catalog/product/d/i/diary_of_a_wimpy_kid_do_it_yourself_3_2023_03_30_10_46_18.jpg
BK041,8,https://cdn0.fahasa.com/media/catalog/product/d/i/diary_of_a_wimpy_kid_do_it_yourself_4_2023_03_30_10_46_18.jpg
BK042,1,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_22919.jpg
BK042,2,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_22919.jpg
BK042,3,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/play-white.png
BK042,4,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/play-orange.png
BK042,5,https://cdn0.fahasa.com/media/catalog/product/9/7/9780141331973_2.jpg
BK042,6,https://cdn0.fahasa.com/media/catalog/product/9/7/9780141331973-1.jpg
BK043,1,https://cdn0.fahasa.com/media/catalog/product/8/1/819b952mvdl._ac_uf1000_1000_ql80_.jpg
BK043,2,https://cdn0.fahasa.com/media/catalog/product/8/1/819b952mvdl._ac_uf1000_1000_ql80__1.jpg
BK043,3,https://cdn0.fahasa.com/media/catalog/product/t/h/the_little_prince_2_2019_03_07_16_04_03.png
BK043,4,https://cdn0.fahasa.com/media/catalog/product/t/h/the_little_prince_3_2019_03_07_16_04_03.png
BK043,5,https://cdn0.fahasa.com/media/catalog/product/t/h/the_little_prince_4_2019_03_07_16_04_03.png
BK043,6,https://cdn0.fahasa.com/media/catalog/product/t/h/the_little_prince_5_2019_03_07_16_04_03.png
BK043,7,https://cdn0.fahasa.com/media/catalog/product/t/h/the_little_prince_6_2019_03_07_16_04_03.png
BK043,8,https://cdn0.fahasa.com/media/catalog/product/t/h/the_little_prince_7_2019_03_07_16_04_03.png
BK044,1,https://cdn0.fahasa.com/media/catalog/product/i/m/image_92546.jpg
BK044,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/alices_adventures_in_wonderland/2020_05_05_13_57_48_2-390x510.png
BK044,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/alices_adventures_in_wonderland/2020_05_05_13_57_48_3-390x510.png
BK044,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/alices_adventures_in_wonderland/2020_05_05_13_57_48_4-390x510.png
BK044,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/alices_adventures_in_wonderland/2020_05_05_13_57_48_5-390x510.png
BK044,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/alices_adventures_in_wonderland/2020_05_05_13_57_48_6-390x510.png
BK044,7,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/alices_adventures_in_wonderland/2020_05_05_13_57_48_7-390x510.png
BK045,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9780553577129.jpg
BK046,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9781408855683_2.jpg
BK046,2,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_1_2018_11_20_07_17_24.jpg
BK046,3,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_2_2018_11_20_07_17_24.png
BK046,4,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_3_2018_11_20_07_17_24.png
BK046,5,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_4_2018_11_20_07_17_24.png
BK046,6,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_5_2018_11_20_07_17_24.png
BK046,7,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_6_2018_11_20_07_17_24.png
BK046,8,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_7_2018_11_20_07_17_24.png
BK046,9,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_8_2018_11_20_07_17_24.png
BK046,10,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_9_2018_11_20_07_17_24.png
BK046,11,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_goblet_of_fire_2014_10_2018_11_20_07_17_24.png
BK047,1,https://cdn0.fahasa.com/media/catalog/product/i/m/image_239108.jpg
BK047,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_order_of_the_phoenix___ravenclaw_edition/2022_04_20_15_11_01_1-390x510.jpg
