,BOOK_ID,IMAGE_ID,BOOK_PATH
0,BK034,1,https://cdn0.fahasa.com/media/catalog/product/a/n/anne_of_green_gables_vintage_classics_1_2020_04_29_13_33_41.jpg
1,BK034,2,https://cdn0.fahasa.com/media/catalog/product/a/n/anne_of_green_gables_vintage_classics_2_2020_04_29_13_33_41.jpg
2,BK034,3,https://cdn0.fahasa.com/media/catalog/product/a/n/anne_of_green_gables_vintage_classics_3_2020_04_29_13_33_41.jpg
3,BK035,1,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_1_2019_04_24_10_13_32.jpg
4,BK035,2,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_2_2019_04_24_10_13_32.png
5,BK035,3,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_3_2019_04_24_10_13_32.png
6,BK035,4,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_4_2019_04_24_10_13_32.png
7,BK035,5,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_5_2019_04_24_10_13_32.png
8,BK035,6,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_6_2019_04_24_10_13_32.png
9,BK035,7,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_7_2019_04_24_10_13_32.png
10,BK035,8,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_8_2019_04_24_10_13_32.png
11,BK035,9,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_9_2019_04_24_10_13_32.png
12,BK035,10,https://cdn0.fahasa.com/media/catalog/product/h/a/harry_potter_and_the_philosophers_stone_10_2019_04_24_10_13_32.png
13,BK036,1,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_23489.jpg
14,BK036,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_1-390x510.png
15,BK036,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_2-390x510.png
16,BK036,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_3-390x510.png
17,BK036,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_4-390x510.png
18,BK036,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_5-390x510.png
19,BK036,7,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_6-390x510.png
20,BK036,8,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_7-390x510.png
21,BK036,9,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_8-390x510.png
22,BK036,10,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_9-390x510.png
23,BK036,11,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_10-390x510.png
24,BK036,12,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlottes_web/2023_06_02_08_28_26_11-390x510.png
25,BK037,1,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_23389.jpg
26,BK037,2,https://cdn0.fahasa.com/media/catalog/product/t/h/the_secret_garden_vintage_classics_1_2018_11_20_22_03_05.jpg
27,BK037,3,https://cdn0.fahasa.com/media/catalog/product/t/h/the_secret_garden_vintage_classics_2_2018_11_20_22_03_05.jpg
28,BK037,4,https://cdn0.fahasa.com/media/catalog/product/t/h/the_secret_garden_vintage_classics_3_2018_11_20_22_03_05.jpg
29,BK037,5,https://cdn0.fahasa.com/media/catalog/product/t/h/the_secret_garden_vintage_classics_4_2018_11_20_22_03_05.jpg
30,BK037,6,https://cdn0.fahasa.com/media/catalog/product/t/h/the_secret_garden_vintage_classics_5_2018_11_20_22_03_05.jpg
31,BK037,7,https://cdn0.fahasa.com/media/catalog/product/t/h/the_secret_garden_vintage_classics_6_2018_11_20_22_03_05.jpg
32,BK037,8,https://cdn0.fahasa.com/media/catalog/product/t/h/the_secret_garden_vintage_classics_7_2018_11_20_22_03_05.jpg
33,BK038,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9781408855676_1.jpg
34,BK038,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_prisoner_of_azkaban/2022_11_14_09_41_21_1-390x510.jpg
35,BK038,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_prisoner_of_azkaban/2022_11_14_09_41_21_2-390x510.jpg
36,BK038,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_prisoner_of_azkaban/2022_11_14_09_41_21_3-390x510.jpg
37,BK038,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_prisoner_of_azkaban/2022_11_14_09_41_21_4-390x510.jpg
38,BK038,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/harry_potter_and_the_prisoner_of_azkaban/2022_11_14_09_41_21_5-390x510.png
39,BK039,1,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_22913.jpg
40,BK039,2,https://cdn0.fahasa.com/media/catalog/product/9/7/9780141324906_2.jpg
41,BK039,3,https://cdn0.fahasa.com/media/catalog/product/9/7/9780141324906-1.jpg
42,BK039,4,https://cdn0.fahasa.com/media/catalog/product/9/7/9780141324906-2.jpg
43,BK040,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9780241568705.jpg
44,BK040,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlie_and_the_great_glass_elevator/2023_09_27_16_14_05_1-390x510.jpg
45,BK040,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/charlie_and_the_great_glass_elevator/2023_09_27_16_14_05_2-390x510.jpg
